"name","id","position","team","rank"
"Tyler Van Dyke",122225,"QB","SMU",420
"Cash Jones",155211,"HB","Georgia",421
"Matt Lauter",145992,"TE","Boise State",422
"Corey Walker",145937,"ED","Wisconsin",423
"Ryan Mosesso",147426,"T","Massachusetts",424
"Kaidon Salter",132046,"QB","Colorado",425
"Jordan Pollard",157845,"LB","San Jose State",426
"Alan Herron",181445,"T","Maryland",427
"Romello Brinson",143936,"WR","SMU",428
"Caleb Fauria",131676,"TE","Delaware",429
"Logan Taylor",151098,"G","Boston College",430
"Desmond Purnell",144611,"LB","Kansas State",431
"Justin Jefferson",172384,"LB","Alabama",432
"Ricardo Hallman",145169,"CB","Wisconsin",433
"Kam Olds",157953,"ED","Kentucky",434
"James Brockermeyer",125681,"C","Miami (FL)",435
"Triston Newson",172569,"LB","Missouri",436
"Zach Calzada",98006,"QB","Kentucky",437
"Ja'Mori Maclin",124211,"WR","Kentucky",438
"Alex Harkey",157695,"T","Oregon",439
"Ka'ena Decambra",146066,"C","Arizona",440
"DT Sheffield",174143,"WR","Rutgers",441
"Namdi Obiazor",157288,"LB","TCU",442
"Trey Smack",157733,"K","Florida",443
"Will Ferrin",145985,"K","BYU",444
"Drew Stevens",156447,"K","Iowa",445
"Dominic Zvada",156657,"K","Michigan",446
"Brett Thorson",157071,"P","Georgia",447
"Ryan Eckley",158380,"P","Michigan State",448
"Jack Stonehouse",146897,"P","Syracuse",449
"Tommy Doman",144944,"P","Florida",450
