player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jakolbe Baldwin,143984,WR,MARSHALL,1,0,0,,0,0,214,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Sean Brown,143986,LB,NC STATE,5,12,0,80.8,0,0,248,0,0,52.7,58.4,80.6,61.7,63.9,69.6,0,6,0,0,79,11.6,5,0,0,134.3,21,0,0,244,1,151,298,13,0,0,13,0,1,285,33,114,39,15,26,4,26,6,2,262,187,12.5
Nate Evans,143991,CB,DELAWARE,13,5,0,55.4,1,0,151,0,0,76.2,75.4,87.9,58.8,68.5,90.0,0,1,0,3,32,2.7,1,7,5,58.4,31,0,0,45,572,407,715,42,0,0,42,0,0,673,7,301,56,7,31,0,56,1,1,357,150,11.5
Caden Fordham,143992,LB,NC STATE,13,23,1,75.5,0,0,248,1,0,56.0,67.1,85.5,70.6,71.4,70.3,0,10,0,2,50,13.2,19,1,1,86.7,40,4,0,665,2,415,823,38,0,0,38,0,3,785,82,326,115,61,102,4,53,14,1,396,233,9.9
Travali Price,144002,DI,NC STATE,13,4,1,,0,0,248,0,0,64.2,59.3,64.6,58.7,57.5,59.1,2,7,0,0,,15.0,3,0,1,0.0,0,3,0,2,0,1,469,467,11,396,0,60,0,2,293,175,0,14,13,2,0,12,0,0,0,
Khalil Anderson,144012,S,MO STATE,5,1,0,100.0,0,0,230,0,0,75.6,72.7,77.7,,57.1,49.5,0,0,0,0,3,25.0,1,0,0,79.2,1,0,0,25,0,49,65,0,0,0,0,0,33,65,0,16,7,2,2,0,1,0,0,3,0,3.0
Jaden Bradley,144016,WR,UNLV,1,0,0,,0,0,325,0,0,60.0,62.4,60.0,,,,0,0,0,0,,,0,0,6,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Tamarion Crumpley,144018,CB,UAB,7,7,0,47.6,1,0,321,0,0,70.8,69.8,12.3,68.8,66.5,37.0,1,0,0,0,39,28.0,7,4,1,78.3,10,0,0,32,254,135,292,0,0,0,0,0,0,292,2,155,6,4,11,2,21,1,1,104,29,10.4
Nahki Johnson,144025,DI,TULSA,12,9,0,,1,0,320,0,0,60.0,74.0,29.9,77.4,71.1,70.4,3,12,0,0,,7.4,2,0,4,0.0,0,4,0,2,0,0,503,501,7,431,18,45,0,2,265,238,0,16,16,3,0,19,0,0,0,
Nick Lapi,144027,LB,PITTSBURGH,6,4,0,50.0,0,0,268,0,0,67.1,71.4,79.9,52.9,77.9,77.5,0,2,0,0,5,6.7,1,0,0,56.3,1,0,0,72,0,35,97,13,0,0,13,0,0,84,19,43,12,9,10,2,2,2,0,5,0,5.0
