player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Broc Lowry,173383,QB,W MICHIGAN,14,73.5,238,265,8.2,2.67,2,9,3.2,63.0,167,0,101,4.6,309,8,101,347,72.3,88.6,75.5,84.1,4,3,330,1,16.8,89.8,5.5,17,27,1,20,9,3,0.9,1817,6.9
Keyone Jenkins,170403,QB,FIU,10,70.7,246,264,8.8,2.87,4,5,1.8,62.1,164,0,104,5.7,302,10,96,166,40.2,59.0,59.2,57.5,3,6,316,3,14.4,83.2,5.0,15,22,1,10,9,12,3.8,1742,6.6
Mark Gronowski,138303,QB,IOWA,13,76.7,236,263,7.6,3.08,6,8,2.9,63.5,167,0,92,7.7,308,14,100,192,44.8,83.3,73.4,79.9,3,7,322,2,18.5,84.2,5.5,17,28,0,18,10,8,2.5,1744,6.6
Gio Lopez,172309,QB,N CAROLINA,11,74.1,243,261,9.2,2.98,3,11,3.9,65.1,170,0,130,5.6,310,10,91,245,58.4,73.1,69.3,68.9,3,5,334,1,16.9,89.0,7.1,22,27,0,12,10,8,2.4,1746,6.7
Ben Gulbranson,131734,QB,STANFORD,9,67.7,235,261,8.5,2.72,6,11,4.0,56.3,147,0,105,7.5,292,12,78,300,33.7,49.4,48.6,58.0,3,10,306,4,23.8,73.5,8.6,25,6,0,17,9,22,7.2,1811,6.9
Carlos Del Rio-Wilson,146687,QB,MARSHALL,11,73.4,244,257,7.7,2.65,6,10,3.6,66.5,171,0,96,4.5,295,8,109,214,74.4,74.1,69.3,69.3,2,5,317,1,9.4,104.7,3.1,9,28,0,5,17,8,2.5,2052,8.0
Tad Hudson,170107,QB,COAST CAR,10,67.5,237,257,7.6,2.57,5,10,3.6,54.1,139,0,96,13.1,283,21,68,141,39.3,57.7,57.0,61.5,5,7,302,7,14.6,63.9,4.9,14,12,0,10,6,14,4.6,1253,4.9
Aidan Armenta,175731,QB,LA MONROE,11,66.5,239,253,11.8,2.81,2,17,6.3,57.7,146,0,76,8.2,293,13,81,209,57.3,62.1,62.3,57.4,1,8,315,5,27.6,79.6,7.2,21,14,0,11,12,14,4.4,1628,6.4
Dylan Raiola,183581,QB,NEBRASKA,9,78.4,241,251,7.4,2.77,2,7,2.7,72.1,181,1,80,4.2,294,8,102,238,51.5,62.4,63.2,51.8,2,6,305,2,36.3,109.3,9.9,29,12,0,6,18,11,3.6,2000,8.0
Dru DeShields,176094,QB,KENT STATE,11,65.5,223,244,10.9,2.85,6,15,5.8,55.7,136,1,119,6.8,283,10,86,201,42.0,61.3,62.8,54.4,3,3,300,7,13.4,102.7,5.7,16,22,1,11,18,11,3.7,2030,8.3
Jayden Denegal,158533,QB,S DIEGO ST,12,72.3,220,243,10.6,3.03,10,12,4.6,58.8,143,0,85,10.1,276,16,77,284,59.7,66.5,62.7,65.3,1,8,296,0,20.0,80.8,6.2,17,15,0,12,9,13,4.4,1808,7.4
